nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Melissa Cavalcanti;DFW-5Z56;96;Não binário;Rua de Caldeira, 80;JAGUARIBARA;CE;2020-04-17;CE
Levi Barbosa;SVR-8W60;44;Homem;Estrada Kaique Ramos, 1;JAGUARETAMA;CE;2020-12-12;CE
Srta. Julia Cunha;DTG-4W69;21;Não binário;Campo de das Neves;ABAIARA;CE;2020-03-21;CE
Caroline Dias;VSR-5Z85;24;Mulher;Conjunto Agatha Moraes, 212;CATUNDA;CE;2022-12-18;CE
Pietro Rezende;VKV-4B11;29;Homem;Pátio Mariane Rocha, 24;URUOCA;CE;2023-02-23;CE
Eduardo da Paz;AVP-1V78;22;Homem;Passarela Ana Sophia Campos, 874;IPAUMIRIM;CE;2022-10-23;CE
Sr. Bruno Lopes;MVU-4V90;21;Homem;Passarela Barros, 95;NOVO ORIENTE;CE;2020-04-03;CE
Mirella Nascimento;XZP-1C77;24;Mulher;Rua das Neves;SANTA QUITÉRIA;CE;2020-09-13;CE
Manuela Cardoso;BSK-2J49;86;Não binário;Fazenda Giovanna Cavalcanti, 40;CAMPOS SALES;CE;2020-08-31;CE
Dra. Rebeca Moreira;BNR-8B59;53;Mulher;Estrada Alana Silveira, 4;ACARAÚ;CE;2023-02-27;CE
Srta. Clarice da Cunha;GDN-3J46;52;Mulher;Residencial de Almeida, 16;ARACATI;CE;2021-02-11;CE
Fernanda Costa;GUU-2W75;58;Mulher;Alameda de Monteiro, 950;APUIARÉS;CE;2021-10-24;CE
Enzo Gabriel Araújo;OHK-3B70;84;Homem;Vila Bruna Nascimento, 9;MERUOCA;CE;2020-10-25;CE
Sofia Novaes;YZP-6S69;90;Mulher;Quadra de Fogaça, 7;SÃO BENEDITO;CE;2020-03-04;CE
Milena Rezende;DVH-7Q73;7;Não binário;Condomínio de Rodrigues, 97;FRECHEIRINHA;CE;2022-01-28;CE
Danilo Oliveira;WHH-2Q03;57;Homem;Praia de Sales, 65;MORRINHOS;CE;2021-08-18;CE
Lucas Gabriel Nascimento;UXP-7D88;74;Homem;Parque Calebe da Conceição, 30;CASCAVEL;CE;2022-12-26;CE
Thales da Cruz;SVE-3B06;64;Homem;Loteamento de Pires, 79;ACARAÚ;CE;2021-05-14;CE
Ana Beatriz Melo;HEZ-9V09;0;Não binário;Vale Moura;MARANGUAPE;CE;2023-07-04;CE
Natália Ramos;KZN-6J72;48;Não binário;Vale Moreira, 76;GRAÇA;CE;2022-10-12;CE
Sarah Oliveira;PLW-2A82;65;Mulher;Trevo Antônio Caldeira, 26;ITAPIPOCA;CE;2022-03-03;CE
Theo Cardoso;GWG-9C78;63;Homem;Quadra Nascimento, 26;GUARACIABA DO NORTE;CE;2021-08-20;CE
Ana Lívia Teixeira;TGD-0D69;57;Mulher;Sítio de Santos, 91;BOA VIAGEM;CE;2022-10-06;CE
Levi Gonçalves;RZT-8A27;45;Homem;Aeroporto Nunes, 512;JAGUARIBARA;CE;2022-10-30;CE
Sra. Olivia da Rocha;DIL-7S35;78;Não binário;Viaduto Teixeira, 41;PORTEIRAS;CE;2021-11-04;CE
Isabella Nunes;SDY-4I29;70;Mulher;Loteamento de Silveira, 18;MUCAMBO;CE;2023-04-04;CE
Sra. Alexia Sales;KND-8F07;56;Não binário;Residencial Mariana Moura, 35;MIRAÍMA;CE;2021-11-07;CE
Sra. Isabella Nogueira;QZI-1J79;42;Não binário;Largo Vitor Ribeiro, 91;OCARA;CE;2021-06-25;CE
Lara da Cruz;NZR-7B27;25;Não binário;Passarela Ribeiro, 50;ITAITINGA;CE;2020-06-24;CE
Caroline Sales;KVZ-6O80;24;Não binário;Campo Campos, 3;TIANGUÁ;CE;2022-09-13;CE
Maria Azevedo;VQS-4O55;4;Mulher;Núcleo de Ramos, 312;CANINDÉ;CE;2020-11-03;CE
Luana Porto;LOA-6R14;33;Mulher;Conjunto de Correia, 24;FORTALEZA;CE;2020-02-10;CE
Emilly Almeida;BPW-1G32;0;Mulher;Praia de Nascimento, 18;MADALENA;CE;2020-08-29;CE
Natália Oliveira;OLP-8O81;90;Mulher;Conjunto Martins, 6;VIÇOSA DO CEARÁ;CE;2020-10-10;CE
Stephany Lopes;SND-4M07;72;Mulher;Setor André Peixoto, 596;BELA CRUZ;CE;2020-12-22;CE
Ana Julia Teixeira;QUL-1D83;89;Não binário;Vereda Breno das Neves, 34;ICAPUÍ;CE;2020-05-19;CE
