nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Davi Lucas Fogaça;ZGV-4W68;81;Homem;Área João Miguel Sales, 2;Brasília;DF;2020-09-30;DF
Daniela da Mota;XHR-2E36;85;Não binário;Pátio de Azevedo, 25;Brasília;DF;2020-04-04;DF
Thiago Cardoso;YGW-5G72;74;Homem;Avenida Agatha Lopes, 3;Brasília;DF;2020-09-01;DF
Camila da Costa;XGR-1U43;75;Mulher;Viaduto de da Mota;Brasília;DF;2023-04-20;DF
Manuela Pires;FOV-2W65;5;Não binário;Residencial Luiz Felipe Duarte, 4;Brasília;DF;2021-10-25;DF
Mirella Cunha;DHQ-4O03;79;Mulher;Passarela de Nascimento;Brasília;DF;2021-09-04;DF
Bruna Souza;CNP-2R11;55;Não binário;Parque de Moraes, 71;Brasília;DF;2022-11-20;DF
Maria Julia Duarte;ODW-4R92;54;Não binário;Lago de Novaes, 6;Brasília;DF;2020-03-11;DF
Ana Luiza Lima;BNS-2Z72;74;Não binário;Colônia de Costa, 34;Brasília;DF;2022-12-06;DF
Juliana Campos;TPT-8D65;81;Não binário;Morro Duarte, 7;Brasília;DF;2020-11-20;DF
Francisco Pinto;FUW-5A89;47;Homem;Área Pietra Fernandes, 58;Brasília;DF;2021-08-21;DF
Maria Julia Rodrigues;JWK-8R97;60;Não binário;Rodovia de da Rosa, 28;Brasília;DF;2023-06-16;DF
Olivia da Rosa;SBX-7D88;73;Não binário;Lagoa da Mata, 56;Brasília;DF;2022-12-25;DF
Clarice Costa;OYO-1B19;44;Mulher;Lagoa de Castro, 4;Brasília;DF;2022-01-19;DF
Marcela Cavalcanti;UOM-0N32;94;Mulher;Alameda Jesus, 13;Brasília;DF;2022-05-29;DF
Srta. Alana Freitas;HSI-2J70;11;Mulher;Avenida de Campos, 2;Brasília;DF;2022-04-10;DF
Ana Carolina Sales;JFK-7G77;92;Não binário;Passarela Maria Fernanda Viana, 4;Brasília;DF;2022-07-13;DF
Isadora Peixoto;EMB-3A74;69;Não binário;Ladeira de Vieira, 58;Brasília;DF;2022-06-28;DF
Raquel da Rosa;CHQ-4O20;28;Não binário;Sítio de Rocha, 395;Brasília;DF;2021-08-05;DF
Noah Cardoso;QMT-7V38;43;Homem;Fazenda Barros;Brasília;DF;2020-11-26;DF
Pedro Henrique Souza;MBW-0P35;89;Homem;Vale de Oliveira, 714;Brasília;DF;2021-12-17;DF
Enzo Azevedo;CGZ-9N32;97;Homem;Setor de Moreira, 78;Brasília;DF;2022-05-19;DF
Cecília da Paz;JLO-9K26;100;Mulher;Esplanada da Mata, 8;Brasília;DF;2023-01-15;DF
Letícia Barbosa;XLX-1I93;98;Mulher;Vale de Jesus, 17;Brasília;DF;2021-10-30;DF
Sr. Davi da Conceição;DYB-2J93;19;Homem;Avenida da Mata;Brasília;DF;2020-09-25;DF
Danilo Caldeira;VRH-3K54;46;Homem;Praça de Martins;Brasília;DF;2020-06-20;DF
Gabriel Barros;VBW-4J98;21;Homem;Vila Melissa da Luz, 20;Brasília;DF;2022-03-27;DF
Carolina Cardoso;JEB-9V36;18;Não binário;Colônia de Teixeira, 94;Brasília;DF;2021-06-27;DF
