nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Luna Nascimento;VON-7X44;66;Mulher;Fazenda de Ramos, 472;NINA RODRIGUES;MA;2020-03-21;MA
Ana Julia Fogaça;ZNS-6W75;40;Não binário;Passarela Gustavo Porto, 674;AMARANTE DO MARANHÃO;MA;2023-07-03;MA
Dr. Augusto da Rocha;QKT-2W07;31;Homem;Estação Vieira, 85;URBANO SANTOS;MA;2022-11-21;MA
Laís Rodrigues;FHA-2S38;21;Não binário;Estrada Luiza Jesus, 72;PINHEIRO;MA;2023-06-24;MA
Paulo da Paz;AIP-1C96;60;Homem;Vereda Julia Viana, 417;GOVERNADOR EDISON LOBÃO;MA;2021-06-24;MA
Laura Ramos;YFY-1A55;79;Mulher;Setor de Sales, 36;GOVERNADOR EUGÊNIO BARROS;MA;2021-11-03;MA
Lívia Alves;ZCV-6Q98;66;Não binário;Quadra Esther Moreira, 86;PRESIDENTE JUSCELINO;MA;2022-01-23;MA
Sra. Rebeca Dias;BOS-3E80;74;Não binário;Vale Marcela Lopes, 53;SÃO VICENTE FERRER;MA;2020-08-06;MA
Felipe da Rocha;XVD-2Q31;79;Homem;Travessa Pedro Miguel das Neves, 42;JOÃO LISBOA;MA;2022-05-06;MA
Luigi Barros;OXD-1Z47;35;Homem;Núcleo Maria Eduarda Farias, 74;GOVERNADOR EUGÊNIO BARROS;MA;2023-07-06;MA
Catarina Gonçalves;JGT-6M96;53;Mulher;Avenida de Campos, 27;CANTANHEDE;MA;2023-02-27;MA
Isabelly Mendes;GOF-8J63;92;Mulher;Conjunto Vitória Monteiro, 49;BELÁGUA;MA;2020-11-23;MA
Rafaela Correia;DKM-9J44;47;Mulher;Área Novaes, 60;ALTAMIRA DO MARANHÃO;MA;2021-12-09;MA
Yago Ramos;CRN-2A70;11;Homem;Viela Sophia Fogaça, 34;BURITI;MA;2022-07-06;MA
Srta. Lavínia Carvalho;ALT-3Q21;83;Mulher;Avenida de Barros, 83;PERITORÓ;MA;2023-02-07;MA
Vicente Pinto;BKE-1V77;66;Homem;Quadra Juan Mendes, 89;PRESIDENTE JUSCELINO;MA;2023-05-26;MA
Sra. Ana Lívia Fernandes;XQL-0G39;61;Mulher;Trecho Rodrigues;SANTA QUITÉRIA DO MARANHÃO;MA;2020-12-07;MA
Luna Araújo;FBU-7M14;35;Mulher;Setor Caldeira, 24;FORTALEZA DOS NOGUEIRAS;MA;2021-02-17;MA
Srta. Stella Barros;WHM-5C97;43;Não binário;Praça de Silva, 239;BURITI BRAVO;MA;2021-05-18;MA
Luiz Miguel Araújo;VVV-4S99;41;Homem;Fazenda de Sales, 428;AMARANTE DO MARANHÃO;MA;2021-12-20;MA
Paulo Peixoto;PIB-5J17;90;Homem;Morro de Santos;PRIMEIRA CRUZ;MA;2021-06-09;MA
Diogo Moreira;FKV-5V61;61;Homem;Morro Barros, 77;PENALVA;MA;2021-11-16;MA
Noah Souza;QHE-5A73;85;Homem;Alameda de Cunha, 93;TIMON;MA;2023-01-18;MA
Sr. Rodrigo Viana;ZHR-7W30;25;Homem;Núcleo Gomes, 30;JENIPAPO DOS VIEIRAS;MA;2022-02-16;MA
Ana Sophia Vieira;QNK-7K02;15;Mulher;Fazenda de Correia, 170;PASTOS BONS;MA;2022-02-11;MA
Clarice Nunes;SXB-0R40;38;Não binário;Pátio de Souza, 2;MIRINZAL;MA;2022-09-15;MA
Vinicius Monteiro;NHA-2Q75;79;Homem;Setor Daniela Vieira, 86;SÃO JOÃO DO SOTER;MA;2021-01-13;MA
Bruna Costa;UPZ-3C73;67;Não binário;Distrito de Duarte, 74;CEDRAL;MA;2022-04-30;MA
Maria Sophia Vieira;MAL-4L40;59;Não binário;Conjunto de Ramos, 80;SÃO BENTO;MA;2021-03-17;MA
Enzo Gabriel Moreira;YEX-0F82;91;Homem;Parque Lopes, 15;MARANHÃOZINHO;MA;2022-06-27;MA
Guilherme Rocha;ZAW-4Y14;16;Homem;Trecho da Conceição, 14;PERITORÓ;MA;2022-08-25;MA
Srta. Mariana Rocha;ROG-1R47;16;Mulher;Setor Alexia Nogueira;SÃO JOÃO DO PARAÍSO;MA;2021-05-28;MA
Laís Aragão;OVI-9N95;69;Não binário;Trevo Lucas Gabriel Correia, 618;PERITORÓ;MA;2021-12-19;MA
Isabelly Ramos;ZDX-5X43;12;Mulher;Conjunto Gonçalves, 1;SANTO AMARO DO MARANHÃO;MA;2020-07-23;MA
Dra. Eloah Almeida;JZU-5M41;0;Mulher;Alameda Rebeca Lopes, 8;BREJO DE AREIA;MA;2020-03-16;MA
