nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Emanuella Mendes;LYQ-5W23;71;Mulher;Conjunto Enzo Gabriel Pires, 91;RIO VERDE DE MATO GROSSO;MS;2020-05-20;MS
Sophia Novaes;XGX-4V29;76;Mulher;Praça Pedro Aragão, 46;AQUIDAUANA;MS;2020-01-25;MS
Daniela Ferreira;LZT-0J01;85;Mulher;Conjunto Lucas Gabriel Cunha, 2;ALCINÓPOLIS;MS;2021-07-14;MS
Juan Jesus;KVC-1D00;4;Homem;Campo de Martins, 667;VICENTINA;MS;2021-09-08;MS
Dra. Maria Cecília Araújo;LGL-1D42;9;Não binário;Parque Ribeiro, 39;TACURU;MS;2020-09-27;MS
Cauê Monteiro;RAF-6B76;99;Homem;Setor Pires, 792;AQUIDAUANA;MS;2020-10-06;MS
Eduarda da Conceição;PXT-0J67;24;Mulher;Estrada Silva, 17;BELA VISTA;MS;2020-11-27;MS
Beatriz Correia;BDK-6L91;6;Não binário;Jardim de da Conceição;VICENTINA;MS;2022-10-26;MS
Yasmin da Mata;UQU-3H35;66;Não binário;Campo Laís Viana, 14;NIOAQUE;MS;2020-08-14;MS
Rafael Gonçalves;NOQ-5Y09;45;Homem;Feira de Farias, 63;JARAGUARI;MS;2021-02-05;MS
Sr. Davi Lucas Pinto;IXN-8E92;31;Homem;Ladeira de Rodrigues, 888;ELDORADO;MS;2020-04-06;MS
Pietra da Rocha;PUU-5L60;64;Não binário;Conjunto de Nascimento, 91;TACURU;MS;2020-02-19;MS
Esther da Rosa;TXQ-9H53;58;Mulher;Sítio Monteiro, 90;TERENOS;MS;2021-05-14;MS
Dra. Emanuelly Gomes;FSJ-6Y84;50;Não binário;Área de Moraes, 15;TRÊS LAGOAS;MS;2022-07-07;MS
Srta. Ana Júlia Cavalcanti;FYR-0T51;100;Mulher;Núcleo de Costa, 51;COSTA RICA;MS;2022-06-23;MS
Miguel Rodrigues;JVG-5P41;29;Homem;Feira de Nascimento, 4;JAPORÃ;MS;2023-07-13;MS
Dra. Isabel Moraes;SSE-5P93;81;Não binário;Via João Felipe Gomes, 91;INOCÊNCIA;MS;2022-08-11;MS
Lucas Vieira;DIJ-9F74;37;Homem;Pátio Peixoto, 6;AMAMBAI;MS;2020-03-06;MS
Sr. Benício Pinto;RNN-5X53;16;Homem;Feira Eloah Correia, 284;IGUATEMI;MS;2020-07-09;MS
Sophie Moreira;UQZ-3V32;44;Mulher;Trecho Breno da Mota, 61;TACURU;MS;2022-10-27;MS
Isaac Vieira;PXE-4L52;100;Homem;Rodovia de Peixoto, 6;CHAPADÃO DO SUL;MS;2020-06-15;MS
Murilo Souza;IYX-0W01;89;Homem;Condomínio de Cardoso, 32;CORGUINHO;MS;2023-04-05;MS
Daniela Gomes;ZCJ-1M57;49;Não binário;Campo da Paz, 26;DOURADINA;MS;2022-06-10;MS
Dra. Alana Cavalcanti;VUK-8Z55;76;Não binário;Sítio Murilo Lopes;ANASTÁCIO;MS;2021-10-24;MS
Luigi Monteiro;OSV-5O19;64;Homem;Viela Moraes, 394;VICENTINA;MS;2022-07-24;MS
Daniela Nunes;VKD-1U70;31;Não binário;Colônia Azevedo, 95;ARAL MOREIRA;MS;2023-04-08;MS
Kaique da Paz;ZPO-3G50;39;Homem;Estação de Almeida, 20;MARACAJU;MS;2020-08-09;MS
Emanuella Monteiro;AZG-8Q65;65;Mulher;Praia de Novaes, 90;BELA VISTA;MS;2020-05-17;MS
Fernando Campos;NHU-9L04;85;Homem;Pátio Luana Mendes, 14;ELDORADO;MS;2021-12-16;MS
