nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Vitor Hugo Barbosa;RJE-6Y18;28;Homem;Residencial Silva, 54;SÃO JOSÉ DO POVO;MT;2022-10-17;MT
Mariane Novaes;LJR-1J62;30;Mulher;Distrito Luigi Martins, 324;NOVA SANTA HELENA;MT;2022-10-14;MT
Emanuelly da Cruz;NYG-8O91;79;Mulher;Parque Miguel da Cunha, 13;SANTA CRUZ DO XINGU;MT;2020-01-15;MT
Marina Porto;WTZ-1K06;6;Mulher;Alameda da Rosa;ARAGUAIANA;MT;2021-08-11;MT
Pietra das Neves;ICI-1U86;23;Não binário;Avenida de Castro, 441;NOVA OLÍMPIA;MT;2023-06-07;MT
Rafaela Martins;GLQ-4C29;5;Mulher;Lago de da Luz, 836;MIRASSOL D'OESTE;MT;2022-09-30;MT
Breno Oliveira;GBA-9Z65;34;Homem;Trecho de Costa, 19;JUÍNA;MT;2020-05-26;MT
Maria Sophia da Rocha;FZL-7I45;12;Não binário;Lagoa Lucas Campos, 734;ARAPUTANGA;MT;2023-01-04;MT
Marina Cunha;LGS-0Y24;42;Mulher;Trecho Henrique Almeida, 24;ALTO BOA VISTA;MT;2020-06-16;MT
Dr. Kevin da Mata;AGG-7L71;65;Homem;Rodovia de da Cruz, 51;DOM AQUINO;MT;2020-03-18;MT
Júlia Vieira;TOB-1W66;57;Mulher;Loteamento Gonçalves, 3;BARRA DO GARÇAS;MT;2023-01-29;MT
Alícia Martins;EWX-5B85;4;Mulher;Viela Costa;LUCIARA;MT;2022-06-27;MT
Ana Laura Silva;WZQ-5V55;72;Não binário;Lagoa de Barbosa, 605;TERRA NOVA DO NORTE;MT;2022-02-17;MT
Dra. Maria Clara Cardoso;CCH-9J01;97;Não binário;Viaduto de Jesus, 449;PARANATINGA;MT;2020-02-06;MT
Sra. Larissa Cavalcanti;TTT-3Z52;33;Não binário;Alameda Azevedo, 45;ARAGUAIANA;MT;2022-03-02;MT
Beatriz Farias;CMG-8F47;32;Mulher;Estrada de Monteiro, 32;SANTA CARMEM;MT;2022-06-24;MT
Emanuella Pinto;FWU-6R84;64;Não binário;Estrada da Rocha, 98;CANARANA;MT;2020-01-24;MT
Vitor Melo;ZJN-5V28;5;Homem;Distrito Eduarda Vieira;SERRA NOVA DOURADA;MT;2021-01-10;MT
Ian Caldeira;BOY-1G97;55;Homem;Área Marcelo Lopes, 42;CONQUISTA D'OESTE;MT;2022-11-17;MT
Stephany Peixoto;OGV-1A52;74;Mulher;Pátio de Pinto, 35;FIGUEIRÓPOLIS D'OESTE;MT;2021-01-25;MT
Eloah Costela;XZC-3C13;0;Não binário;Sítio de Nogueira, 68;ALTO BOA VISTA;MT;2021-05-27;MT
Evelyn Porto;EOY-5R05;63;Não binário;Vale Alícia Monteiro, 60;TAPURAH;MT;2020-09-12;MT
Emanuelly Cardoso;GIM-0Y51;45;Mulher;Vale de Moraes;GAÚCHA DO NORTE;MT;2021-08-03;MT
Kaique Fernandes;XTS-3F38;35;Homem;Lago de da Paz, 5;LUCIARA;MT;2020-04-08;MT
Srta. Sophia Barros;XAD-0D44;32;Não binário;Parque Azevedo, 81;NOVA BANDEIRANTES;MT;2023-05-27;MT
Ana Beatriz Cardoso;BSW-8S06;94;Mulher;Setor de Moraes, 15;COTRIGUAÇU;MT;2020-11-24;MT
Melissa Cardoso;KKV-1V22;70;Mulher;Recanto de Correia, 366;PLANALTO DA SERRA;MT;2022-08-11;MT
Emanuelly Sales;IZU-5I62;93;Não binário;Lago da Luz, 89;VÁRZEA GRANDE;MT;2022-11-29;MT
Natália Costela;POV-5I47;54;Não binário;Trecho Marcela da Cunha, 86;DOM AQUINO;MT;2021-03-19;MT
Danilo Azevedo;OBC-0F41;29;Homem;Esplanada Moreira, 40;GAÚCHA DO NORTE;MT;2022-08-13;MT
Pedro Miguel Rezende;HAK-0Q99;79;Homem;Parque de Cardoso, 86;NOVA LACERDA;MT;2020-01-28;MT
Pedro Miguel Moura;JQP-0B08;62;Homem;Passarela de Pinto, 35;NOVA CANAÃ DO NORTE;MT;2023-03-02;MT
Maria Alice Vieira;WTN-4D41;32;Mulher;Área Kaique Porto;UNIÃO DO SUL;MT;2022-04-17;MT
Henrique Costela;APM-5Z47;56;Homem;Campo Moura, 60;NOVA BANDEIRANTES;MT;2020-09-09;MT
Bruno Azevedo;TQB-1A01;46;Homem;Conjunto de Silva, 41;VÁRZEA GRANDE;MT;2020-08-08;MT
