nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
João Gabriel da Mota;QCZ-2Q25;51;Homem;Jardim Lavínia Ribeiro, 3;CARUARU;PE;2023-06-02;PE
Bruno Pinto;HEE-0M59;75;Homem;Lago de Sales, 31;JUREMA;PE;2023-06-29;PE
Dr. João Pedro Ferreira;MGN-1F18;35;Homem;Lagoa Raquel da Rosa, 32;BONITO;PE;2020-01-25;PE
Elisa Monteiro;BFG-4P74;79;Não binário;Lagoa Maria Vitória Caldeira, 1;LAGOA GRANDE;PE;2020-04-21;PE
Sr. João Gabriel da Conceição;DNQ-0D74;50;Homem;Sítio Cardoso, 98;MACAPARANA;PE;2022-01-18;PE
Pedro Henrique Silveira;IOY-2P26;86;Homem;Morro Freitas, 88;TEREZINHA;PE;2023-01-04;PE
Theo Souza;NIH-7R31;58;Homem;Viela Ramos, 98;BREJO DA MADRE DE DEUS;PE;2022-05-01;PE
Stella Nogueira;YLY-0R73;99;Não binário;Quadra Elisa Monteiro, 48;MACHADOS;PE;2021-01-30;PE
Isabel Carvalho;YQN-4U90;61;Não binário;Passarela Milena Porto, 16;JABOATÃO DOS GUARARAPES;PE;2022-08-07;PE
Luna Moreira;BEF-1W40;87;Não binário;Colônia Jesus, 69;LAGOA GRANDE;PE;2023-02-22;PE
Stephany Barros;TFF-7W02;7;Não binário;Aeroporto de Lima, 58;SÃO JOÃO;PE;2020-10-13;PE
Ana Vitória Vieira;CQV-2I43;71;Não binário;Sítio Jesus;GRANITO;PE;2020-10-21;PE
Ryan Monteiro;ZUY-0X76;40;Homem;Loteamento Manuela Peixoto, 2;CALUMBI;PE;2023-05-27;PE
Ana Carolina Correia;DYQ-1V43;100;Mulher;Loteamento de da Mota, 595;JOÃO ALFREDO;PE;2020-04-13;PE
Lavínia Viana;KCG-3L45;86;Não binário;Viela Heitor da Paz, 27;PALMEIRINA;PE;2021-12-09;PE
Valentina Carvalho;HDX-0S89;67;Não binário;Via Jesus, 32;IATI;PE;2021-11-12;PE
Sophia Correia;TEW-6S78;20;Mulher;Trevo de Nascimento, 31;CALUMBI;PE;2023-02-11;PE
Srta. Bruna Gomes;XMI-5R83;99;Não binário;Largo de Vieira, 99;POÇÃO;PE;2023-03-07;PE
Rafael da Cunha;HKB-7P27;58;Homem;Lagoa Caldeira, 9;SANTA MARIA DO CAMBUCÁ;PE;2020-11-28;PE
Bruna Almeida;VAB-9D47;27;Mulher;Feira Camila Viana, 286;MORENO;PE;2020-05-24;PE
Elisa Rezende;ASX-2V00;73;Mulher;Esplanada Pedro Lucas Costa;VERTENTE DO LÉRIO;PE;2020-08-06;PE
Maria Clara Duarte;WSV-4H91;88;Não binário;Área da Conceição;CAPOEIRAS;PE;2020-12-06;PE
Julia Cardoso;QAQ-4G24;80;Não binário;Rodovia de da Mata, 164;CACHOEIRINHA;PE;2020-10-19;PE
João Vitor Teixeira;TDT-7A36;76;Homem;Esplanada Paulo Vieira, 4;VENTUROSA;PE;2022-04-20;PE
Sra. Yasmin da Costa;OOS-9F88;51;Mulher;Estação de Barros, 83;CANHOTINHO;PE;2020-03-05;PE
Ana Beatriz Mendes;ZFL-8D95;48;Não binário;Loteamento Enzo Novaes, 84;CUSTÓDIA;PE;2021-06-18;PE
Letícia Farias;PQX-0E07;26;Não binário;Vale Peixoto, 42;ANGELIM;PE;2022-07-01;PE
Enzo Farias;WZU-9F55;85;Homem;Distrito de Gonçalves, 20;TAQUARITINGA DO NORTE;PE;2021-01-07;PE
Isadora Gonçalves;KSI-1B02;69;Mulher;Pátio de da Rocha, 53;CAMARAGIBE;PE;2020-02-15;PE
Ana Beatriz Moraes;NWP-4E91;87;Não binário;Trecho de Barros, 71;CUPIRA;PE;2020-01-17;PE
Isadora da Conceição;SMG-8L38;83;Mulher;Rua Vitor Hugo Azevedo, 89;ARAÇOIABA;PE;2022-07-26;PE
Ana Carolina Peixoto;JDN-0V69;42;Não binário;Largo Leonardo Souza, 94;CAMUTANGA;PE;2023-02-09;PE
Vinicius Moreira;ZUI-9U09;76;Homem;Recanto de Silveira, 54;SERRITA;PE;2022-10-20;PE
