nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Marcela Aragão;GHA-7Q55;11;Não binário;Aeroporto Ana Sophia da Conceição, 8;PRESIDENTE CASTELLO BRANCO;SC;2020-03-31;SC
Guilherme Cardoso;DOI-1V28;3;Homem;Praia de Moura, 111;TANGARÁ;SC;2020-09-13;SC
Luana Nunes;QHO-8X99;48;Mulher;Lagoa de da Mota, 90;XAVANTINA;SC;2020-10-26;SC
Olivia Fernandes;NBG-5Z86;52;Mulher;Avenida Lopes, 37;ARABUTÃ;SC;2022-01-22;SC
Stephany Rodrigues;ZKE-7O23;79;Mulher;Quadra Natália Monteiro, 39;IRINEÓPOLIS;SC;2020-02-14;SC
Bruno Cardoso;JVB-2I06;34;Homem;Aeroporto de Rocha, 10;XANXERÊ;SC;2020-08-07;SC
Yago Dias;YQP-5C55;70;Homem;Via Nogueira, 835;GUARUJÁ DO SUL;SC;2021-05-01;SC
Alice Nogueira;RVY-0J17;2;Mulher;Loteamento Luiza Cardoso, 62;GRÃO PARÁ;SC;2020-12-02;SC
Emanuelly Teixeira;SSQ-5H21;45;Não binário;Travessa Porto, 2;FREI ROGÉRIO;SC;2021-09-17;SC
Sr. Pietro Carvalho;QNW-2O00;64;Homem;Distrito Luiz Henrique Fernandes, 8;SANTA ROSA DE LIMA;SC;2020-01-25;SC
Breno da Rosa;UGI-3W49;91;Homem;Conjunto Alves;IPORÃ DO OESTE;SC;2022-02-12;SC
Miguel Gonçalves;PUT-4W86;14;Homem;Avenida Moreira, 357;BOM JESUS DO OESTE;SC;2020-10-05;SC
Luigi Barbosa;LXG-0K70;61;Homem;Praia de da Rosa, 60;SÃO JOÃO DO SUL;SC;2020-08-31;SC
Nicole da Conceição;VWT-3D14;3;Não binário;Ladeira Ribeiro, 67;BOM JARDIM DA SERRA;SC;2022-09-27;SC
Maria Luiza Oliveira;ZQR-5H40;36;Mulher;Praça da Paz, 5;INDAIAL;SC;2021-02-18;SC
Carolina das Neves;QCD-0H73;53;Não binário;Aeroporto Noah Dias, 9;PLANALTO ALEGRE;SC;2022-04-20;SC
Luigi Moura;VLD-9N33;50;Homem;Avenida Carvalho;SÃO JOAQUIM;SC;2020-04-16;SC
Carolina Cunha;KVE-4K24;78;Mulher;Alameda de Costela;FLORIANÓPOLIS;SC;2023-04-14;SC
Dr. Diego Rezende;LCL-9L09;3;Homem;Lagoa Luiz Fernando Jesus, 89;FLORIANÓPOLIS;SC;2021-02-27;SC
Sr. Benício Farias;IKH-2A26;2;Homem;Viela de Azevedo, 1;MACIEIRA;SC;2021-03-27;SC
Matheus Araújo;WQS-9E77;28;Homem;Vale Giovanna Cardoso, 761;ANITÁPOLIS;SC;2022-03-09;SC
Stella Ramos;MKU-7S27;33;Não binário;Praia Monteiro, 102;RIO NEGRINHO;SC;2021-08-27;SC
Stephany Sales;MEQ-3P22;67;Não binário;Favela Nicole Fernandes, 85;IMARUÍ;SC;2022-02-07;SC
Bernardo Pires;CTT-0V80;23;Homem;Viela Farias, 793;IMBUIA;SC;2022-07-29;SC
Gustavo Henrique Silva;COU-6A41;56;Homem;Aeroporto de Nunes, 53;TIGRINHOS;SC;2023-03-01;SC
Srta. Maria Julia Pinto;ZEI-6K93;11;Mulher;Setor Letícia Melo, 2;TREVISO;SC;2021-03-19;SC
Dr. Leandro Cavalcanti;UPR-0G01;81;Homem;Lagoa Benjamin Rocha, 23;SIDERÓPOLIS;SC;2021-08-22;SC
Ana Julia Aragão;CTB-1Z77;47;Mulher;Recanto Almeida, 22;SEARA;SC;2021-10-31;SC
Sarah Barbosa;JOO-1M96;16;Não binário;Parque de Moura, 7;SALTO VELOSO;SC;2023-03-04;SC
Stephany Moura;YEE-1I57;75;Mulher;Esplanada Moura;NOVA TRENTO;SC;2021-07-02;SC
