nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Arthur Alves;IFD-3K78;39;Homem;Largo Peixoto, 8;AREIA BRANCA;SE;2020-01-29;SE
Manuela Correia;VKQ-3J64;85;Não binário;Via Monteiro, 504;NOSSA SENHORA DE LOURDES;SE;2022-08-08;SE
Beatriz Peixoto;EOE-0W07;29;Mulher;Trecho Kamilly Costela, 76;BOQUIM;SE;2021-11-22;SE
Mariane da Cunha;PAA-4Z68;64;Mulher;Vila Gabrielly Sales, 54;ITABAIANA;SE;2023-02-17;SE
Erick Freitas;JYR-8J44;63;Homem;Setor Isabelly Lima, 18;ROSÁRIO DO CATETE;SE;2021-12-14;SE
Alana da Rosa;FCC-3W56;31;Não binário;Trevo Isabelly Mendes, 770;CARIRA;SE;2021-07-06;SE
Dra. Sabrina Pinto;TGO-7J21;67;Não binário;Campo Larissa Sales, 909;TOMAR DO GERU;SE;2022-09-12;SE
Maysa da Mata;PWX-0O70;10;Mulher;Chácara de Novaes, 9;MURIBECA;SE;2021-01-12;SE
Srta. Luiza da Mata;SPU-1L74;36;Não binário;Rodovia de Martins, 40;LAGARTO;SE;2021-09-18;SE
Lucas Gabriel Rezende;KYN-4Q29;7;Homem;Lagoa de Fogaça, 37;ITAPORANGA D'AJUDA;SE;2020-11-21;SE
Heitor Santos;FTH-3I02;2;Homem;Loteamento Ana Luiza Silva, 81;CAMPO DO BRITO;SE;2021-05-09;SE
Emanuelly Sales;XGN-0T13;23;Não binário;Estação Ana Júlia Mendes;UMBAÚBA;SE;2022-07-22;SE
Laís Castro;MXC-2L79;19;Mulher;Parque de Correia;CARIRA;SE;2020-07-07;SE
Davi Lucca Ribeiro;ISJ-0P11;74;Homem;Passarela de Cunha, 81;AREIA BRANCA;SE;2021-02-01;SE
Gabriela Moreira;KWL-9R41;69;Mulher;Estrada Nascimento, 94;CAPELA;SE;2021-10-03;SE
Larissa Farias;IFF-7F91;78;Não binário;Trevo Rocha;AMPARO DE SÃO FRANCISCO;SE;2020-09-27;SE
Lívia Ferreira;DCH-4Q87;19;Não binário;Lago Amanda Azevedo, 86;JAPOATÃ;SE;2020-08-01;SE
Diego da Costa;MXL-2C68;74;Homem;Lago de Moreira, 3;ROSÁRIO DO CATETE;SE;2021-07-14;SE
Larissa Farias;ZXM-0B54;20;Mulher;Área Vitor Ferreira, 728;ESTÂNCIA;SE;2021-05-04;SE
Levi Peixoto;VKV-8B42;88;Homem;Área Julia Dias, 476;MONTE ALEGRE DE SERGIPE;SE;2022-07-03;SE
Sra. Beatriz da Luz;ZVY-2C13;99;Não binário;Pátio Gonçalves;CRISTINÁPOLIS;SE;2021-10-14;SE
Luana Fogaça;QMW-7M97;21;Não binário;Ladeira de da Mota, 182;ARACAJU;SE;2021-10-10;SE
Maysa Araújo;NRY-6S32;36;Não binário;Feira de da Rosa, 54;SANTO AMARO DAS BROTAS;SE;2022-12-28;SE
Joana Souza;ZLY-4J42;8;Mulher;Quadra de Moraes, 7;LAGARTO;SE;2022-06-08;SE
Fernando Barbosa;LBW-0Z21;85;Homem;Residencial de Rezende, 4;JAPARATUBA;SE;2021-04-14;SE
Gabrielly Mendes;BNH-5C83;6;Mulher;Lago Davi Luiz Moura;AREIA BRANCA;SE;2021-03-31;SE
João Gabriel Ribeiro;QZI-1K56;36;Homem;Campo de Castro;MALHADOR;SE;2020-03-04;SE
Maria Eduarda Vieira;BTV-0S86;44;Não binário;Loteamento de Rezende, 3;UMBAÚBA;SE;2022-02-26;SE
Cecília Jesus;HVX-6E84;3;Não binário;Viaduto Duarte, 1;NOSSA SENHORA DE LOURDES;SE;2022-03-26;SE
Laís Castro;SOG-9U53;10;Mulher;Colônia Eduarda Fernandes;PROPRIÁ;SE;2022-02-27;SE
Joaquim Lopes;TEA-0N76;54;Homem;Estrada de Oliveira, 6;JAPOATÃ;SE;2021-09-09;SE
Emilly Silveira;KZM-2U80;87;Mulher;Travessa de Cardoso, 6;GENERAL MAYNARD;SE;2020-04-20;SE
Maysa Nogueira;VCO-3P73;65;Mulher;Praça de Cardoso, 677;SANTO AMARO DAS BROTAS;SE;2021-02-14;SE
Marcos Vinicius Monteiro;JMS-3B41;32;Homem;Campo Alexandre Aragão, 62;CAPELA;SE;2023-07-10;SE
