nome;placa;total_multas;genero;endereco;cidade;estado;ultima_multa;PARTITION
Ana Clara Fernandes;DQF-2D56;69;Não binário;Vale de Moreira, 64;COUTO MAGALHÃES;TO;2020-01-05;TO
Larissa da Rosa;WDO-8R77;8;Mulher;Feira Felipe Lopes, 89;DUERÉ;TO;2020-02-08;TO
Sophie Silva;HBY-7N40;67;Mulher;Ladeira Alana Oliveira, 56;XAMBIOÁ;TO;2020-06-27;TO
Sr. Davi Luiz Sales;HRL-0Q00;40;Homem;Vereda Fernandes, 98;CARMOLÂNDIA;TO;2020-07-13;TO
Joana Rocha;JXF-5R22;44;Não binário;Alameda de das Neves;ANGICO;TO;2020-06-23;TO
Davi Luiz Novaes;AEF-7G63;49;Homem;Praça de Gomes, 179;NAZARÉ;TO;2022-01-25;TO
Raquel Nascimento;WGW-0U73;79;Não binário;Estrada Correia, 117;TAIPAS DO TOCANTINS;TO;2020-05-21;TO
Carlos Eduardo Correia;ATS-3U63;28;Homem;Residencial Moreira, 466;PRESIDENTE KENNEDY;TO;2020-06-21;TO
Clarice da Mata;RCW-4D81;60;Não binário;Feira de Silveira, 79;FORTALEZA DO TABOCÃO;TO;2022-05-09;TO
Maria Cecília Campos;OAX-9T49;71;Não binário;Favela de Carvalho, 3;PORTO ALEGRE DO TOCANTINS;TO;2021-12-18;TO
Srta. Stephany Barros;EOV-2W36;60;Não binário;Estação Dias, 33;BURITI DO TOCANTINS;TO;2022-09-06;TO
Thales Nunes;ACX-8K58;1;Homem;Distrito Luiz Fernando Gomes, 402;MONTE SANTO DO TOCANTINS;TO;2021-04-07;TO
Sophie Rodrigues;RZC-9I56;93;Mulher;Conjunto de Campos, 46;LAGOA DO TOCANTINS;TO;2020-05-11;TO
Bryan Silva;KQB-6A23;51;Homem;Aeroporto de Viana, 55;PARAÍSO DO TOCANTINS;TO;2023-02-17;TO
Marina Ferreira;LOD-9K56;82;Mulher;Vila Sophie Ramos;PEIXE;TO;2021-06-04;TO
Luiz Henrique da Paz;JND-7W05;49;Homem;Conjunto da Luz, 709;SANDOLÂNDIA;TO;2022-02-15;TO
Gabriela Martins;NQA-6Y72;40;Não binário;Alameda de Freitas, 48;DOIS IRMÃOS DO TOCANTINS;TO;2020-01-09;TO
Mirella Pinto;FCJ-8R84;34;Não binário;Viaduto de Rezende;MARIANÓPOLIS DO TOCANTINS;TO;2022-09-29;TO
Heloísa Melo;KSC-0G98;80;Mulher;Viaduto Moura, 15;PONTE ALTA DO TOCANTINS;TO;2020-10-22;TO
Ana Luiza Fogaça;UKT-0W27;42;Mulher;Sítio Castro, 199;ARAPOEMA;TO;2020-03-02;TO
Caio Fernandes;NZZ-1P71;61;Homem;Chácara Marina Pinto, 62;NOVO ACORDO;TO;2021-10-24;TO
Maria Luiza Pereira;QOD-9E82;92;Mulher;Conjunto Barbosa, 367;PONTE ALTA DO BOM JESUS;TO;2022-08-25;TO
Raquel Rodrigues;SPI-3A03;98;Não binário;Via de Ribeiro, 94;PINDORAMA DO TOCANTINS;TO;2023-04-20;TO
Sr. João Lucas Silveira;HBO-6A66;92;Homem;Trevo Alves, 36;TUPIRAMA;TO;2021-12-28;TO
Emanuelly da Rocha;YEE-2F13;91;Mulher;Vila de Rocha, 57;MARIANÓPOLIS DO TOCANTINS;TO;2020-12-30;TO
Thiago da Costa;AZI-1S59;95;Homem;Setor da Cunha, 22;SAMPAIO;TO;2022-02-03;TO
Luiz Otávio Silveira;DMP-3J62;28;Homem;Feira Leonardo Carvalho, 95;LUZINÓPOLIS;TO;2023-01-10;TO
Joana da Paz;MDO-2N25;39;Mulher;Área de Ribeiro, 47;ARAGUACEMA;TO;2021-04-27;TO
Fernando Viana;TPY-7M86;41;Homem;Alameda Luiz Otávio Porto, 82;ARAGUAÍNA;TO;2021-07-14;TO
João Guilherme Caldeira;VTN-3R24;64;Homem;Favela Juan Nascimento, 844;SANDOLÂNDIA;TO;2022-02-16;TO
Rafaela Almeida;IBI-3F34;57;Não binário;Conjunto Campos, 94;NOVO ACORDO;TO;2020-01-28;TO
Lavínia Aragão;DLL-5L56;92;Mulher;Favela Emanuelly Castro, 53;ARAGUAÇU;TO;2023-05-27;TO
Luiz Felipe Freitas;VFU-0H74;87;Homem;Passarela de Monteiro, 775;SANTA RITA DO TOCANTINS;TO;2022-08-21;TO
Nina Lopes;MPO-4E95;37;Mulher;Quadra Costa;MIRANORTE;TO;2023-05-29;TO
Sra. Maria da Costa;RQG-7V74;9;Mulher;Residencial Alana da Luz, 4;ALMAS;TO;2022-01-08;TO
Sr. Gabriel Jesus;MQP-7I37;100;Homem;Estação Rodrigues, 1;PARANÃ;TO;2022-02-11;TO
